Hex,Segment,Field Names
000002006f00007a004401023009cc09000821526bbce608e0ce799da029351f4fe0,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 13), (13, 15), (15, 16), (16, 18), (18, 34)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Memory Area', 'Word Address', 'Bit', 'Count', 'Data']"
c00007007a00006f004401020000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
800002004e0000b8009b01023123a5000020ed489a61ee06314d24b23461d6805b07d2292feda412bb8fe5275b97ecc1756cee5f81fd274b9245f223a1205cb70eb1dd33d029ebb6ba7821dc2b6f5070f031,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 13), (13, 15), (15, 16), (16, 18), (18, 82)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Memory Area', 'Word Address', 'Bit', 'Count', 'Data']"
c000070075000089006b04020000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
c0000200d3000090001201030000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
80000100510000f400cb0306f9f7aa9501d8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 16), (16, 18)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Start Address', 'Read Length']"
800005009d00001600ba2102005c0014,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 16)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Start Record Number', 'Read Count']"
00000200840000eb003c010231072e000012f357bd902fd3402ef977accda3a5ace8dd258951d2352765da0720260a88ad2a03230879,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 13), (13, 15), (15, 16), (16, 18), (18, 54)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Memory Area', 'Word Address', 'Bit', 'Count', 'Data']"
40000200f2000049003321010000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
400003000a0000fe002323010000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
c00002003e0000e600dc0101000029a3de2462919d32064e270acf2edaffc87173ae06de538f243e90415562bb390f153da3c30a2a003eb35d8cebbd0a08df59ee23a9472601be6bd4664afb,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 76)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Read Data']"
80000000d900006800500402,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code']"
400007009900000800be0306000000000000a1e6a88cc9590bd4,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 26)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Program Data']"
800002004000002400282301013122a10500,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 13), (13, 14), (14, 17), (17, 18)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Control Code', 'Memory Area', 'Start Address (3 bytes)', 'Reserved']"
c000070064000054006901020000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
400005007800009400ba01010000a6ffc8e23e0aceefcda755c4a0b98fd4af9e8494,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 34)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Read Data']"
00000700ad0000e900c62301008203d10400,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 13), (13, 14), (14, 17), (17, 18)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Control Code', 'Memory Area', 'Start Address (3 bytes)', 'Reserved']"
80000300a300002300e9010231155a00000bc769e2cf17b8cd937ebdf0b9e0d2b0c7c97f056d1cab,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 13), (13, 15), (15, 16), (16, 18), (18, 40)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Memory Area', 'Word Address', 'Bit', 'Count', 'Data']"
c00002001a00009400a201020000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
c0000000dc00000100a0010100003672129e2e01da046e8d1e2743484a6db5e198dfa547d187b80b46f5,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 42)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Read Data']"
400002001c0000e7007a01010000657f98fe3b9a,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 20)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Read Data']"
c00007007700004b00c2010100005af3cbeb98df70b96e1d9517e4f42a3366bf98774ce79bfa8cc5a8ab45e69780a0b8fbc604fc6bd30dd605a7147d0cdfa8ce52bf6166,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 68)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Read Data']"
40000200c7000047004b21010000,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)']"
c0000200c600008f00d60202000088b4a0e4dfec,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 20)]","['ICF', 'RSV', 'GCT', 'DNA', 'DA1', 'DA2', 'SNA', 'SA1', 'SA2', 'SID', 'Command Code', 'Response Code (MRES+SRES)', 'Parameter Data']"
