Hex,Segment,Field Names
00010800060400027ab8d1330dc8c0a801d33ef0d3bcfaf4c0a80124,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040002789d5f03a757c0a864c9d8271ac164efc0a8649c,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000166792205f0bfc0a801fa000000000000c0a80183,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000132f22bff1aeec0a864d4000000000000c0a86403,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
00010800060400029ecd0b66f972c0a8011f0c7449b458d5c0a8011b,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000220fb2714f7d5c0a801c2f61b8f5875d6c0a8015b,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000106c83a6e53aac0a864cb000000000000c0a86489,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001dce30a75ee880a00003d0000000000000a000070,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001687cedf96917c0a80125000000000000c0a801ac,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
00010800060400015a178da01e58c0a8645f000000000000c0a86438,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001a4fd117f63890a0000630000000000000a000007,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040002fc8e71a2b3060a0000dfdcb407517b840a000045,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040002b27447eacb840a0000d1289e8314fdaf0a00008e,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000140aecd0de20bc0a801c0000000000000c0a801f0,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
00010800060400018a09a3eafda50a0000ea0000000000000a000007,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001368d1871e05c0a0000ac0000000000000a000029,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040002f4dab58a90f90a0000057067723f338e0a000053,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000156ded51f7353c0a801af000000000000c0a8016d,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001aaad6ccfdc69c0a8017c000000000000c0a8017e,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
000108000604000210a10c9a310bc0a86470ae945adedfb5c0a864c2,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001ae5873d97bf9c0a864cb000000000000c0a8648f,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040001ecb42fa35a0dc0a8010b000000000000c0a801ed,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
0001080006040002d4f098b7391dc0a801a17019c1eedaa1c0a801e4,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
00010800060400017cb398bf5941c0a864fa000000000000c0a86454,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
00010800060400025e9151df417bc0a801dda4c68ca5bf49c0a8012b,"[(0, 2), (2, 4), (4, 5), (5, 6), (6, 8), (8, 14), (14, 18), (18, 24), (24, 28)]","['Hardware Type', 'Protocol Type', 'Hardware Address Length', 'Protocol Address Length', 'ARP Opcode', 'Sender Hardware Address', 'Sender Protocol Address', 'Target Hardware Address', 'Target Protocol Address']"
