Hex,Segment,Field Names
ffffffffffffffffffffffffffffffff0015030301,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff00290200000012400101004002040201fe4c400304c6336401,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 41)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff003102000418cb00710016400101004002080203fdeafdf2fded400304c6336401,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 25), (25, 27), (27, 49)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Withdrawn Routes', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff002d0200000016400101004002080203fe4cfdeafdfc4003040a000001,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 45)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff002f0200000014400101004002060202fde9fe4c400304c0a8010118c0a864,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 43), (43, 47)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'Path Attributes', 'NLRI']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff00250104fe4c00f0c0a8010208020641040000fe4c,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 28), (28, 29), (29, 37)]","['BGP Marker', 'Length', 'Type', 'Version', 'My AS', 'Hold Time', 'BGP Identifier', 'Opt Param Length', 'Optional Parameters']"
ffffffffffffffffffffffffffffffff001d0104fdec0078c0a8010100,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 28), (28, 29)]","['BGP Marker', 'Length', 'Type', 'Version', 'My AS', 'Hold Time', 'BGP Identifier', 'Opt Param Length']"
ffffffffffffffffffffffffffffffff002b0200000014400101004002060202fdfcfdea400304cb007101,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 43)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff002d02000418cb00710012400101004002040201fdf2400304c6336401,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 25), (25, 27), (27, 45)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Withdrawn Routes', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff00250104fdea00b40a00000208020641040000fdea,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 28), (28, 29), (29, 37)]","['BGP Marker', 'Length', 'Type', 'Version', 'My AS', 'Hold Time', 'BGP Identifier', 'Opt Param Length', 'Optional Parameters']"
ffffffffffffffffffffffffffffffff00250104fdf200b4cb00710108020641040000fdf2,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 28), (28, 29), (29, 37)]","['BGP Marker', 'Length', 'Type', 'Version', 'My AS', 'Hold Time', 'BGP Identifier', 'Opt Param Length', 'Optional Parameters']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff0015030101,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff00250104fe4c0078c0a8010208020641040000fe4c,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 28), (28, 29), (29, 37)]","['BGP Marker', 'Length', 'Type', 'Version', 'My AS', 'Hold Time', 'BGP Identifier', 'Opt Param Length', 'Optional Parameters']"
ffffffffffffffffffffffffffffffff0015030302,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff002f02000418cb00710014400101004002060202fdfcfdec400304ac100101,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 25), (25, 27), (27, 47)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Withdrawn Routes', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff00170200000000,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff0015030300,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff002b0200000014400101004002060202fdfcfdea4003040a000002,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 43)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff0015030302,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff0015030400,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff002c02000310c0a80012400101004002040201fe4c400304c0a80102,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 24), (24, 26), (26, 44)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Withdrawn Routes', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff002d020002080a0014400101004002060202fde9fdea400304c6336401,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 25), (25, 45)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Withdrawn Routes', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff00170200000000,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length']"
ffffffffffffffffffffffffffffffff002d0200000016400101004002080203fdecfdedfdea4003040a000002,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 45)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'Path Attributes']"
ffffffffffffffffffffffffffffffff001304,"[(0, 16), (16, 18), (18, 19)]","['BGP Marker', 'Length', 'Type']"
ffffffffffffffffffffffffffffffff0015030205,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff001d0104fde9003cc633640100,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 28), (28, 29)]","['BGP Marker', 'Length', 'Type', 'Version', 'My AS', 'Hold Time', 'BGP Identifier', 'Opt Param Length']"
ffffffffffffffffffffffffffffffff001b020000000018c0a864,"[(0, 16), (16, 18), (18, 19), (19, 21), (21, 23), (23, 27)]","['BGP Marker', 'Length', 'Type', 'Withdrawn Routes Length', 'Path Attr Length', 'NLRI']"
ffffffffffffffffffffffffffffffff0015030101,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
ffffffffffffffffffffffffffffffff0015030105,"[(0, 16), (16, 18), (18, 19), (19, 20), (20, 21)]","['BGP Marker', 'Length', 'Type', 'Error Code', 'Error Subcode']"
