Hex,Segment,Field Names
0100020000010008,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw']"
010003000002001182264e0000d203003b,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8), (8, 9), (9, 14), (14, 15), (15, 16), (16, 17)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw', 'hart_ip.pt.delimiter_raw', 'hart_ip.pt.long_address_raw', 'hart_ip.pt.command_raw', 'hart_ip.pt.length_raw', 'hart_ip.pt.checksum_raw']"
010003000003001182264e0000d2000038,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8), (8, 9), (9, 14), (14, 15), (15, 16), (16, 17)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw', 'hart_ip.pt.delimiter_raw', 'hart_ip.pt.long_address_raw', 'hart_ip.pt.command_raw', 'hart_ip.pt.length_raw', 'hart_ip.pt.checksum_raw']"
0100020000040008,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw']"
010100000005000d0100032a3a,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8), (8, 9), (9, 13)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw', 'hart_ip.session_init.master_type_raw', 'hart_ip.session_init.inactivity_close_timer_raw']"
010100000006000d0200007b95,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8), (8, 9), (9, 13)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw', 'hart_ip.session_init.master_type_raw', 'hart_ip.session_init.inactivity_close_timer_raw']"
0100020000070008,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw']"
010000000008000d020000d1b3,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8), (8, 9), (9, 13)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw', 'hart_ip.session_init.master_type_raw', 'hart_ip.session_init.inactivity_close_timer_raw']"
0100020000090008,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw']"
01000300000a001182264e0000d2000038,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 6), (6, 8), (8, 9), (9, 14), (14, 15), (15, 16), (16, 17)]","['hart_ip.version_raw', 'hart_ip.message_type_raw', 'hart_ip.message_id_raw', 'hart_ip.status_raw', 'hart_ip.transaction_id_raw', 'hart_ip.msg_length_raw', 'hart_ip.pt.delimiter_raw', 'hart_ip.pt.long_address_raw', 'hart_ip.pt.command_raw', 'hart_ip.pt.length_raw', 'hart_ip.pt.checksum_raw']"
