Hex,Segment,Field Names
0004000000060105b379ff00,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 10), (10, 12)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Output Address', 'Output Value']"
0005000000060102031aa448,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 10), (10, 12)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Starting Address', 'Quantity']"
000c00000006010203e04203,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 10), (10, 12)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Starting Address', 'Quantity']"
0011000000060106c4574a2f,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 10), (10, 12)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Register Address', 'Register Value']"
0016000000af011063570054a8d1d6364d78f16a45117cf7f93e91f79bbb8abb1fbee649bcffd141afdbac1f8b54454a2ec9bdcc14bc098c0fdfa9ab9530f063e26a8e78eef5f60de7bc20a34a93de0aa2e7c7af7f9af4b20e89d121082bf73d823c15f909c9979e2ec7baf46c641a0e4113b993825241a4714daaa019c4279422690019dfc7adbd7d25a3f90ff3ee2c6c774ee5b3b7934bd149b06413896d27ef2f0a906693cedeca3300729ba8e590d92c17fd07,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 181)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Data']"
001d0000000601101384000d,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 12)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Data']"
001e000000f5010fc350076feeccdb1dcb2f3bd5cb7707bca931b373f1791b63bb90d4097447460237e4c9f1faf683cc9fa20e5cf024aaf504bbe0c5252c0557b146244f78017dc865c5c73b17bfc1bc47dd5102b1f27af40aa38815833248a8d9cbd062a5ed731d18f442ad5c459ad5a4a6719fcbcc2a0ed797b9ee723a2553da6251c1f550bedf04cbbd2f437fbe78ee03e2e79d7bd13fe4b2a40535773b97d6232fc905602285a07611aa0773d29560e314b94b66cbca8cb2dc89758cfc176f9b99a18bc2416d5d12c4c1540403ab4a3d40b221be426c45541cd014ffd3e5bd685b0fe018ff9cb0f2809e7bccd9e31d7be316d6fb542d477e1f,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 251)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Data']"
0020000000060103ac870078,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 10), (10, 12)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Starting Address', 'Quantity']"
002600000003018301,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 9)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Exception Code']"
002d00000003018504,"[(0, 2), (2, 4), (4, 6), (6, 7), (7, 8), (8, 9)]","['Transaction ID', 'Protocol ID', 'Length', 'Unit ID', 'Function Code', 'Exception Code']"
