Hex,Segment,Field Names
324100196167726963756c747572652f736f696c2f6d6f69737475726500047b22757365725f6964223a20383338332c2022616374696f6e223a20226c6f67696e227d,"[(0, 1), (1, 2), (2, 4), (4, 29), (29, 31), (31, 67)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Packet ID', 'Payload']"
343d00156275696c64696e672f687661632f636f6e74726f6c00067b22757365725f6964223a20363236382c2022616374696f6e223a20226c6f67696e227d,"[(0, 1), (1, 2), (2, 4), (4, 25), (25, 27), (27, 63)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Packet ID', 'Payload']"
821e000b00196167726963756c747572652f736f696c2f6d6f69737475726502,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 31), (31, 32)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Topic Filter Length', 'Topic Filter', 'Requested QoS']"
900319e301,"[(0, 1), (1, 2), (2, 4), (4, 5)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Return Codes']"
b0026e3c,"[(0, 1), (1, 2), (2, 4)]","['Message Type & Flags', 'Remaining Length', 'Packet ID']"
20020000,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['Message Type & Flags', 'Remaining Length', 'Connect Ack Flags', 'Connect Return Code']"
821a0017001573656375726974792f63616d6572612f616c65727400,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 27), (27, 28)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Topic Filter Length', 'Topic Filter', 'Requested QoS']"
32c802001b6865616c7468636172652f6465766963652f686561727472617465001a7b226e6f74696669636174696f6e223a207b2274797065223a2022776561746865725f616c657274222c20227072696f72697479223a20226d656469756d222c20226d657373616765223a20225765617468657220636f6e646974696f6e73206d617920616666656374206f7574646f6f722073656e736f727320696e207a6f6e657320382d3230222c202276616c69645f756e74696c223a20313639383933373138357d2c202261666665637465645f64657669636573223a205b224445565f313838222c20224445565f323330222c20224445565f333435225d2c20227265636f6d6d656e6465645f616374696f6e223a20224d6f6e69746f7220636c6f73656c7920616e642061646a757374207468726573686f6c6473206966206e6563657373617279227d,"[(0, 1), (1, 3), (3, 5), (5, 32), (32, 34), (34, 331)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Packet ID', 'Payload']"
3288020018656e657267792f6d657465722f636f6e73756d7074696f6e001c53595354454d5f5245504f52543a204d756c74692d646576696365207374617475732075706461746520666f72206e6574776f726b207365676d656e7420342e2044657669636520636f756e743a2031302e2041637469766520646576696365733a2033332e20496e61637469766520646576696365733a20342e204e6574776f726b207574696c697a6174696f6e3a203538252e204c617374206d61696e74656e616e63653a20313220646179732061676f2e204e657874207363686564756c6564206d61696e74656e616e63653a203220646179732e20437269746963616c20616c657274733a20332e,"[(0, 1), (1, 3), (3, 5), (5, 29), (29, 31), (31, 267)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Packet ID', 'Payload']"
900362ad02,"[(0, 1), (1, 2), (2, 4), (4, 5)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Return Codes']"
20020001,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['Message Type & Flags', 'Remaining Length', 'Connect Ack Flags', 'Connect Return Code']"
101700044d5154540402003c000b636c69656e745f36363733,"[(0, 1), (1, 2), (2, 4), (4, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 25)]","['Message Type & Flags', 'Remaining Length', 'Protocol Name Length', 'Protocol Name', 'Protocol Level', 'Connect Flags', 'Keep Alive', 'Client ID Length', 'Client ID']"
20020000,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['Message Type & Flags', 'Remaining Length', 'Connect Ack Flags', 'Connect Return Code']"
101700044d5154540402003c000b636c69656e745f32343233,"[(0, 1), (1, 2), (2, 4), (4, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 25)]","['Message Type & Flags', 'Remaining Length', 'Protocol Name Length', 'Protocol Name', 'Protocol Level', 'Connect Flags', 'Keep Alive', 'Client ID Length', 'Client ID']"
d000,"[(0, 1), (1, 2)]","['Message Type & Flags', 'Remaining Length']"
9003b70c80,"[(0, 1), (1, 2), (2, 4), (4, 5)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Return Codes']"
b002bdd9,"[(0, 1), (1, 2), (2, 4)]","['Message Type & Flags', 'Remaining Length', 'Packet ID']"
9003d6e480,"[(0, 1), (1, 2), (2, 4), (4, 5)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Return Codes']"
34430014776561746865722f73746174696f6e2f6461746100367b226465766963655f6964223a2022444556363833222c2022737461747573223a2022616374697665227d,"[(0, 1), (1, 2), (2, 4), (4, 24), (24, 26), (26, 69)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Packet ID', 'Payload']"
b00242aa,"[(0, 1), (1, 2), (2, 4)]","['Message Type & Flags', 'Remaining Length', 'Packet ID']"
c000,"[(0, 1), (1, 2)]","['Message Type & Flags', 'Remaining Length']"
c000,"[(0, 1), (1, 2)]","['Message Type & Flags', 'Remaining Length']"
b002e6e1,"[(0, 1), (1, 2), (2, 4)]","['Message Type & Flags', 'Remaining Length', 'Packet ID']"
308902001b6865616c7468636172652f6465766963652f68656172747261746553595354454d5f5245504f52543a204d756c74692d646576696365207374617475732075706461746520666f72206e6574776f726b207365676d656e7420322e2044657669636520636f756e743a2032352e2041637469766520646576696365733a2033352e20496e61637469766520646576696365733a20312e204e6574776f726b207574696c697a6174696f6e3a203735252e204c617374206d61696e74656e616e63653a203120646179732061676f2e204e657874207363686564756c6564206d61696e74656e616e63653a20313320646179732e20437269746963616c20616c657274733a20302e,"[(0, 1), (1, 3), (3, 5), (5, 32), (32, 268)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Payload']"
101700044d5154540402003c000b636c69656e745f35353034,"[(0, 1), (1, 2), (2, 4), (4, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 25)]","['Message Type & Flags', 'Remaining Length', 'Protocol Name Length', 'Protocol Name', 'Protocol Level', 'Connect Flags', 'Keep Alive', 'Client ID Length', 'Client ID']"
101700044d5154540402003c000b636c69656e745f32363833,"[(0, 1), (1, 2), (2, 4), (4, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 25)]","['Message Type & Flags', 'Remaining Length', 'Protocol Name Length', 'Protocol Name', 'Protocol Level', 'Connect Flags', 'Keep Alive', 'Client ID Length', 'Client ID']"
b0026616,"[(0, 1), (1, 2), (2, 4)]","['Message Type & Flags', 'Remaining Length', 'Packet ID']"
101700044d5154540402003c000b636c69656e745f39343937,"[(0, 1), (1, 2), (2, 4), (4, 8), (8, 9), (9, 10), (10, 12), (12, 14), (14, 25)]","['Message Type & Flags', 'Remaining Length', 'Protocol Name Length', 'Protocol Name', 'Protocol Level', 'Connect Flags', 'Keep Alive', 'Client ID Length', 'Client ID']"
8219004b00146f66666963652f73656e736f722f6d6f74696f6e01,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 26), (26, 27)]","['Message Type & Flags', 'Remaining Length', 'Packet ID', 'Topic Filter Length', 'Topic Filter', 'Requested QoS']"
32f101001573656375726974792f63616d6572612f616c657274004d7b2273656e736f725f6172726179223a205b7b226964223a202253303031222c202276616c7565223a2032357d2c207b226964223a202253303032222c202276616c7565223a2038307d2c207b226964223a202253303033222c202276616c7565223a20327d5d2c20226c6f636174696f6e223a20224275696c64696e675f415f466c6f6f725f39222c2022636f6f7264696e61746f72223a2022434f4f52445f313332222c202274696d657374616d70223a20313631363438393335322c2022737461747573223a20226f7065726174696f6e616c227d,"[(0, 1), (1, 3), (3, 5), (5, 26), (26, 28), (28, 244)]","['Message Type & Flags', 'Remaining Length', 'Topic Length', 'Topic Name', 'Packet ID', 'Payload']"
