Hex,Segment,Field Names
50e100a1003c61c016e161d61d8b550d202bc0f3aac9b752c7c68e8fe2eb3f9af2ec37e8a2c72889366e0292d23af15f35e0d48964c9890a30d12d42,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 60)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
405b00a20078e20c53747265616d2064617461206368756e6b20363536206f66207472616e736d697373696f6e468b724144db22a6ca02974b30c1dbe78adf9b8e8ecc33e681dd1faa1760ea30c920952173a1c206fc735be009df42488f9457c0dd034192c4f5ec71bba2f709e43b8de826312c33650682,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 120)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
0ca114e9006afd274845414c54485f434845434b2073657276657233204f4b206d656d3a323725206370753a373525d987cdbf36de1bad75c2d7f39511064614987c3430c3e3d2abd7aa667f401fb99021930aebb13d69b939a069b3e63e2dbe62eff01fc4e0bea1714b,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 106)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
d46f00450087015253747265616d2064617461206368756e6b20363935206f66207472616e736d697373696f6e37bb3736c6d578fc6863f23ea19ba5511e73c28c87d68c16dff7032fcde9a14a9e900babc8fcee19b5b25a3f777662dbc03cb776e6e048eaff8290f94845c726b83b9ab956bdaddb1b65eca8958c2411ebb3f8c105c54d29748b,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 135)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
408c007b0028c964414c4552542073797374656d5f6f7665726c6f6164207468726573686f6c645f,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 40)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
0f30007b005a30687b22646576696365223a20224445563139222c2022737461747573223a2022616374697665222c202262617474657279223a2035337da72dbc072ec04f09156adf46b88747ce2b478a231c0208f3ae6fef45,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 90)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
65a014e90059efce44454255472073657373696f6e3a383032302073746174653a636f6e6e6563746564e1a76b92530e5e9e6cd97714d76a2a830a2b037997620c9b11e05bb2fa83e0b513dd8dbe5936dbd79ec8600c9b6919,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 89)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
e60600a20087cb1aaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbcc,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 135)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
bacb00a2007ff5d1aabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbccddaabbcc,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 127)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
8d70007b0039d5374c4f475f4556454e54205b313633303335303736345d2055736572206c6f67696e207375636365737366756c3e5e034995,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 57)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
d90e00a20031f375e3da4078d0ff41e2e954fc88e89de8ca3d450997d7d0b6c172e85326af95bcbd89912b69e9804bf3cd,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 49)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
61a50045004647c24543484f20726573706f6e736520393830c4e022db96ba1350231d19dd53f30aa28d57f86accc4b412960f8b52508db4c51960acb6e0bf6702282784d9c7,"[(0, 2), (2, 4), (4, 6), (6, 8), (8, 70)]","['Source Port', 'Destination Port', 'UDP Length', 'UDP Checksum', 'UDP Data']"
