Hex,Segment,Field Names
320300000200000800000000f0000001000100f0,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 16), (16, 18), (18, 20)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Error-Code', 'Error-Code', 'Function-Code', 'Reserved', 'Count', 'Count', 'Length']"
320700000b00000800060001120411430200ff0900023038,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (16, 17), (17, 18), (18, 19), (19, 20), (20, 22), (22, 24)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Count', 'Command', 'Length', 'Identifier', 'Flags', 'Count', 'Bit-Field', 'Type', 'Length', 'Command']"
320700000b00000c0008000112081283020100000000ff09000400012203,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (16, 17), (17, 18), (18, 19), (19, 20), (20, 22), (22, 23), (23, 24), (24, 26), (26, 28), (28, 29), (29, 30)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Count', 'Command', 'Length', 'Identifier', 'Flags', 'Count', 'Bit-Field', 'Command', 'Error-Code', 'Bit-Field', 'Type', 'Length', 'Bit-Field', 'Error-Code', 'Command']"
320700000c000008000c0001120411430300ff0900083041303030303142,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (16, 17), (17, 18), (18, 19), (19, 20), (20, 22), (22, 24), (24, 29), (29, 30)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Count', 'Command', 'Length', 'Identifier', 'Flags', 'Count', 'Bit-Field', 'Type', 'Length', 'Command', 'Bit-Field', 'File-Info']"
320700000c00000c000400011208128303000000d2090a000000,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (16, 17), (17, 18), (18, 19), (19, 20), (20, 22), (22, 23), (23, 24), (24, 26)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Count', 'Command', 'Length', 'Identifier', 'Flags', 'Count', 'Bit-Field', 'Command', 'Error-Code', 'Bit-Field', 'Type', 'Length']"
320100000e00002000001a00010000000000095f30413030303031500d31303030353030303030343030,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 14), (14, 18), (18, 19), (19, 20), (20, 22), (22, 27), (27, 28), (28, 29), (29, 30), (30, 36), (36, 42)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Error-Code', 'Error-Code', 'Error-Code', 'Length', 'File-Info', 'Command', 'Bit-Field', 'File-Info', 'Length', 'Error-Code', 'Length', 'Length']"
320300000e000001000000001a,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Error-Code', 'Error-Code', 'Identifier']"
320100000100001200001b00000000000000095f3041303030303150,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 14), (14, 18), (18, 19), (19, 20), (20, 22), (22, 27), (27, 28)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Error-Code', 'Error-Code', 'Error-Code', 'Length', 'File-Info', 'Command', 'Bit-Field', 'File-Info']"
320300000100000200e200001b0100de00fb70700101050a0001000001f400000000029147602bb5029147602bb5001c000000000190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 16), (16, 18), (18, 240)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Error-Code', 'Error-Code', 'Function-Code', 'Error-Code', 'Length', 'Error-Code', 'Command']"
320100000300001200001b00000000000000095f3041303030303150,"[(0, 1), (1, 2), (2, 4), (4, 6), (6, 8), (8, 10), (10, 11), (11, 12), (12, 14), (14, 18), (18, 19), (19, 20), (20, 22), (22, 27), (27, 28)]","['Protocol-ID', 'Function-Code', 'Reserved', 'Identifier', 'Length', 'Length', 'Function-Code', 'Error-Code', 'Error-Code', 'Error-Code', 'Length', 'File-Info', 'Command', 'Bit-Field', 'File-Info']"
